job_code,name
1989,방문상담
1990,배송상담
1991,상담품질관리
1992,원격상담
1993,전화상담
1994,접수/예약
1995,주문상담
1996,채팅상담
1997,콜센터/고객센터
1998,콜통계/분석
1999,통화품질분석
2000,해지방어
2001,해피콜
2002,A/S상담
2003,VOC분석
2227,구매
2212,품질관리
1764,3PL운영
1750,구매관리
1751,물류관리
1765,개발구매
1752,물류사무원
1766,거래처관리
1753,보세사
1767,검품/검수
1768,견적관리
1754,자재관리
1769,구매대행/소싱
1755,재고관리
1770,납기관리
1756,창고관리
1771,물류자동화
1757,포워더
1772,배차관리
1758,구매기획
1773,보세구역관리
1759,국제물류
1760,물류기획
1774,보세화물관리
1761,유통관리
1775,상하차
1762,SRM
1776,선적
1777,수/발주
1763,SCM
1778,수급관리
1779,수불관리
1780,양산구매
1781,외자구매
1782,외주관리
1783,원가관리
1784,입고/입하
1785,자재구매
1786,적재/하역
1787,전략구매
1788,정산관리
1789,조달구매
1790,집하/분류
1791,출고/출하
1792,패킹(포장)
1793,피킹(집품)
1794,화물관리
1795,ERP
1796,MRO
1797,WMS
2245,식품MD
2237,패션MD
1212,기획MD
1223,가공식품
1213,리테일MD
1224,가구
1214,바잉MD
1225,건강기능식품
1215,브랜드MD
1226,결품관리
1216,슈퍼바이저
1227,구매총괄
1217,영업MD
1228,남성의류
1218,오프라인MD
1229,납기관리
1219,온라인MD
1230,로드샵
1231,리빙
1220,유통MD
1221,AMD
1232,매출관리
1233,면세점
1222,VMD
1234,문구
1235,백화점
1236,브랜드관리
1237,브랜드기획
1238,브랜드런칭
1239,브랜드확장
1240,브랜딩
1241,상품관리
1242,상품분석
1243,생활용품
1244,소셜커머스
1245,쇼핑몰
1246,스포츠용품
1247,스포츠의류
1248,시장조사
1249,시판
1250,식품
1251,아동복
1252,아이템선정
1253,여성의류
1254,영캐주얼
1255,오픈마켓
1256,완구
1257,유아용품
1258,이커머스
1259,자사몰관리
1260,전자제품
1261,제작관리
1262,주방
1263,주얼리/액세서리
1264,채널관리
1265,트렌드분석
1266,판매전략
1267,팝업스토어관리
1268,패션브랜드
1269,패션잡화
1270,퍼니싱
1271,편집샵
1272,프로모션기획
1273,홈쇼핑
1274,홈패션/홈데코
1275,화장품
1276,회원분석
1277,CS관리
1278,POP
1279,SNS
1280,SRM
2219,운전
662,1톤
678,덤프트럭
633,납품운전원
634,대리운전
663,2.5톤
679,로우더
664,3.5톤
680,믹서트럭(레미콘)
635,라이더(배달원)
636,물류기사
665,4.5톤
681,암롤
637,배송기사
666,5톤이상
682,전동지게차
638,버스기사
667,소형화물
683,지게차
639,보세운송
668,견인차
684,집게차
640,사택기사
669,선박
685,컨테이너크레인
670,오토바이
686,크레인
641,셔틀버스기사
642,수행기사
671,윙바디
687,포크레인(굴삭기)
688,호이스트
672,화물차(카고)
643,승합기사
644,조종사
673,탑차
645,지상조업
674,탱크로리
646,차량도우미
675,트럭
647,퀵서비스
676,트레일러
677,특수차량
648,탁송기사
649,택배기사
650,택시기사
651,포워더
652,포장이사
653,육상운송
654,적재/하역
655,지입
656,철도운송
657,통관
658,항공운송
659,해상운송
660,배차관리
2214,요리사
2216,영양사
2228,파티쉐
2202,매장관리
2207,청소
2209,자동차정비
2235,시설관리
858,피부관리사
929,객실관리
964,공항
859,가사도우미
930,고객안내
965,관리사무소
860,검침원
931,고객응대
966,급식소
861,경비원
932,광택
967,네일샵
862,경비지도사
933,기계수리
968,대형마트
863,경호원
934,다이어트
969,드레스샵
864,관광가이드
935,동물관리
970,리조트
865,관광통역안내사
936,동물장례
971,미용실
866,나레이터
937,라운딩
972,백화점
867,네일리스트
938,렌탈
973,서점
868,두피관리사
939,마사지
974,식당
869,라이더(배달원)
940,메이크업
975,에스테틱/스파
870,룸메이드
941,면세품인도
976,여객선
871,매장매니저
942,발권
977,여행사
872,매표/검표
943,방범
978,영화관
873,미용사
944,설비점검
979,웨딩스튜디오
874,미화원
945,세탁
980,웨딩홀
875,바리스타
946,소독
981,장례식장
876,바텐더
947,속눈썹
982,주방
877,발레파킹
948,식단관리
983,주유소
878,벨멘/도어맨
949,썬팅
984,카지노
879,보안요원
950,요금정산
985,카페
880,부주방장
951,의류수선
986,콘도
881,뷰티매니저
952,인터넷설치
987,키즈카페
882,산후도우미
953,자동차도장
988,항공사
883,세차원
954,자동차튜닝
989,호텔
884,소믈리에
955,접수/예약
885,스타일리스트
956,출력/제본/복사
886,승무원
957,케이터링
887,아쿠아리스트
958,펜션관리
888,안내데스크
959,프론트
889,안전요원
960,필터교체
890,양조사
961,해충방제
891,왁서
962,현금호송
892,웨딩플래너
963,LPG충전
893,육아도우미
894,입주도우미
895,장례지도사
896,정비기사
897,제과/제빵사
898,조리사
899,주방보조
900,주방장
901,주유원
902,주차요원
903,지배인
904,지상직
905,차량도우미
906,체형관리사
907,카페매니저
908,캐셔
909,커뮤니티매니저
910,커플매니저
911,탁송기사
912,테라피스트
913,프로모터
914,플로리스트
915,하우스맨
916,해설가
917,행사도우미
918,호텔리어
919,홀매니저
920,홀서빙
921,A/S기사
922,가전제품설치
923,애견미용
924,애견훈련
925,파티플래너
926,푸드스타일리스트
927,GRO(컨시어지)
928,보석감정사
2195,품질관리
2196,생산
2200,생산기술
2211,공정관리
2213,제조
2221,항공정비
2223,공장장
2199,포장
2204,품질보증
2218,자동차
2224,식품
990,기계조작원
1038,2D설계
1174,3축가공기
1204,2교대
991,단순생산직
1039,3D설계
1175,5축가공기
1205,3교대
992,미싱사
1040,3차원측정
1176,감속기
1206,상주근무
993,생산관리
1041,계측기교정
1177,고속가공기
1207,야간근무
994,설비OP
1042,공구연마
1178,라우터
1208,일용직
995,세공사
1043,공구연삭
1179,레디알
1209,입식근무
996,외관검사원
1044,광학/렌즈
1180,범용밀링
1210,좌식근무
997,용접원
1045,그라비아인쇄
1181,범용보링
1211,주간근무
998,재단사
1046,금속
1182,범용선반
999,제관사
1047,납땜
1183,변압기
1000,조색사
1048,다이캐스팅
1184,복합기
1001,품질검사원
1049,도장/도금/도색
1185,성형기
1002,QA
1050,드릴링
1186,세륜기
1003,QC
1051,레이저가공
1187,압출기
1004,공정엔지니어
1052,목형
1188,연마기
1005,기술엔지니어
1053,바닥재
1189,연삭기
1006,설계엔지니어
1054,박스제조
1190,자동선반
1007,캐드원
1055,박판용접
1191,절곡기
1008,PSM
1056,방적/방사
1192,지그
1009,공정설계
1057,방전가공
1193,천공기
1010,제품설계
1058,배관용접
1194,톱기계
1011,구조해석/설계
1059,배합
1195,파쇄기/분쇄기
1012,금형설계
1060,불량분석
1196,프레스
1013,기계설계
1061,브러쉬
1197,CAM
1014,기구설계
1062,비금속/요업
1198,MCT
1015,기술설계
1063,사상/래핑
1199,NC/CNC밀링
1016,부품설계
1064,사출금형
1200,NC/CNC보링
1017,생산설계
1065,사출성형
1201,NC/CNC선반
1018,시스템설계
1066,샌딩
1202,NCT
1019,계장설계
1067,석유화학
1203,PLC
1020,전장설계
1068,선박엔진
1021,안전보건관리자
1069,섬유/의류
1022,자동화설계
1070,세척밸리데이션
1023,장비설계
1071,실링
1024,전기설계
1072,실크인쇄
1025,펌프설계
1073,아노다이징
1026,조선설계
1074,아크릴가공
1027,프로그램설계
1075,아크용접
1028,플랜트설계
1076,알곤용접
1029,회로설계
1077,압연
1030,절단가공
1078,압출성형
1031,절삭가공
1079,에칭
1032,자동제어
1080,열처리
1033,장비제어
1081,와이어컷팅
1034,전기제어
1082,인발
1035,전자제어
1083,인서트
1036,반도체설계
1084,자동용접
1037,제조가공
1085,자동화라인
1086,작물재배
1087,장비/공구
1088,전계장
1089,전기용접
1090,제련
1091,제약/바이오
1092,조립
1093,주얼리/액세서리
1094,주조/단조
1095,증착
1096,충진
1097,칭량
1098,코팅
1099,터닝
1100,판금
